CODE,LOC_OUTLET_NAME,OUTLET_NAME,LOB_SEGMENT,LOB
94176453,Mountain Mrkt,Freshwds Mrkt,Grab N Go,Food and Beverage
88087503,MD MQ,MagiQuest,MagiQuest,Attractions
88083455,MD Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
88083453,MD Woods End Crm,Woods End,Confectionary,Food and Beverage
88085453,MD Banquets,Banquets,Banquets,Food and Beverage
88083457,MD HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
88083459,MD Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
88082407,MD Cabana,Cabana,Cabana,Food and Beverage
88086403,MD Paddle Bay,Paddle Bay,Waterpark Gift Shop,Retail
88084403,MD Timbers,Timbers,Snack Bar 2,Food and Beverage
88079653,MD Campfire Ktch,Campfire,Buffet,Food and Beverage
88085455,MD Buckhorn,Buckhorn,Gift Shop,Retail
88082405,MD Watering Hole,Watering Hole,Snack Bar 2,Food and Beverage
88084405,MD Room Service,Room Service,Room Service,Food and Beverage
88086405,MD Attractions 1,Attractions 1,Attractions 1,Attractions
88081553,MD Fireside,Fireside,Sit Down,Food and Beverage
88087505,MD Arcade,Arcade,Arcade,Attractions
66022853,WI Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66009003,VA Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66008403,TC Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66004103,KC Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66004105,KI Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66009005,WA Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66001603,CS Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66004704,SD Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
66002503,GG Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
55543153,MT Room Service,Room Service,Room Service,Food and Beverage
55543005,MT Freshwds Mkt,Freshwds Mrkt,Grab N Go,Food and Beverage
55542657,MT Outpost,Outpost,Bar,Food and Beverage
55542403,MT Campfire Ktch,Campfire Ktch,Buffet,Food and Beverage
55542663,MT Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
55543003,MT HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
55543453,MT Attractions 2,Attractions 2,Attractions 2,Attractions
55542553,MT Barnwood,Barnwood,Sit Down,Food and Beverage
55543555,MT Arcade,Arcade,Arcade,Attractions
55542659,MT Cabana,Cabana,Cabana,Food and Beverage
55543553,MT MagiQuest,MagiQuest,MagiQuest,Attractions
55542653,MT Buckets,Buckets,Snack Bar 1,Food and Beverage
55543557,MT Camp Howl,Camp Howl,Gift Shop,Retail
55543007,MT Timbers Tacos,Timbers Tacos,Snack Bar 1,Food and Beverage
55543353,MT Paddle Bay,Paddle Bay,Waterpark Gift Shop,Retail
50681503,PA Northwds Mrkt,Northwds Mrkt,Grab N Go,Food and Beverage
6272703,NE Spirit Island,Spirit Island,Snack Bar 3,Food and Beverage
6272709,NE Dunkin Donuts,Dunkin Donuts,Coffee Shop,Food and Beverage
6272711,NE HAAW,Hungry Wolf,Pizza Shop,Food and Beverage
6272713,NE Banquets,Banquets,Banquets,Food and Beverage
6272717,NE Gift Shop 2,Bear Esntls,Gift Shop 2,Retail
6272719,NE Attractions 1,Attractions 1,Attractions 1,Attractions
6272723,NE Arcade,Arcade,Arcade,Attractions
6272727,NE MagiQuest,MagiQuest,MagiQuest,Attractions
6272729,NE Scooops,Scooops,Spa,Retail
6597951,TC Camp Critter,Camp Critter,Sit Down,Food and Beverage
6689855,TC MagiQuest,MagiQuest,MagiQuest,Attractions
6704403,TC Cabana,Cabana,Cabana,Food and Beverage
6704405,TC Bear Paw,Bear Paw,Confectionary,Food and Beverage
6727151,VA Buckhorn,Buckhorn,Gift Shop,Retail
