STAY_DATE,PROPERTY,ROOM_CATEGORY,Rooms_Sold,Room_Revenue,Occupancy_Percentage
2022-01-01,Atlanta,PRE,41,20902.62,8.971553610503284
2022-01-01,Atlanta,STA,173,58175.14,37.85557986870897
2022-01-01,Atlanta,THE,161,61896.21,35.22975929978118
2022-01-01,Colorado,PRE,27,15563.94,8.681672025723474
2022-01-01,Colorado,STA,169,61393.08,54.340836012861736
2022-01-01,Colorado,THE,46,21656.2,14.790996784565916
2022-01-01,Concord,PRE,49,31507.42,12.189054726368159
2022-01-01,Concord,STA,191,64181.3,47.51243781094527
2022-01-01,Concord,THE,140,61003.67,34.82587064676617
2022-01-01,Grand Mound,PRE,54,35196.909999999996,13.5678391959799
2022-01-01,Grand Mound,STA,184,65809.45,46.231155778894475
2022-01-01,Grand Mound,THE,102,49634.54,25.628140703517587
2022-01-01,Grapevine,PRE,48,34194.58,7.933884297520661
2022-01-01,Grapevine,STA,322,109017.34,53.223140495867774
2022-01-01,Grapevine,THE,178,79422.98,29.421487603305785
2022-01-01,Gurnee,PRE,21,14909.96,5.072463768115942
2022-01-01,Gurnee,STA,204,61402.24,49.275362318840585
2022-01-01,Gurnee,THE,147,50465.13,35.507246376811594
2022-01-01,Kansas City,PRE,23,14973.74,9.126984126984127
2022-01-01,Kansas City,STA,116,46885.28,46.03174603174603
2022-01-01,Kansas City,THE,79,40073.47,31.349206349206348
2022-01-01,Manteca,PRE,48,29854.6,11.294117647058824
2022-01-01,Manteca,STA,213,71734.64,50.117647058823536
2022-01-01,Manteca,THE,101,45276.44,23.764705882352942
2022-01-01,Mason,PRE,61,39544.13,15.211970074812967
2022-01-01,Mason,STA,186,69217.29,46.38403990024938
2022-01-01,Mason,THE,134,56980.43,33.416458852867834
2022-01-01,Minnesota,PRE,18,7897.24,4.455445544554455
2022-01-01,Minnesota,STA,276,80575.08,68.31683168316832
2022-01-01,Minnesota,THE,51,20455.0,12.623762376237623
2022-01-01,New England,PRE,18,17260.44,4.433497536945813
2022-01-01,New England,STA,322,106403.2,79.3103448275862
2022-01-01,New England,THE,70,36944.1,17.24137931034483
2022-01-01,Poconos,PRE,58,40219.25,14.463840399002494
2022-01-01,Poconos,STA,220,92048.58,54.862842892768086
2022-01-01,Poconos,THE,164,80102.3,40.89775561097257
2022-01-01,Sandusky,PRE,21,10388.41,7.7490774907749085
2022-01-01,Sandusky,STA,178,50303.14,65.68265682656826
2022-01-01,Sandusky,THE,93,30070.39,34.31734317343174
2022-01-01,Scottsdale,PRE,27,12095.38,7.7142857142857135
2022-01-01,Scottsdale,STA,133,35814.08,38.0
2022-01-01,Scottsdale,THE,95,35803.87,27.142857142857142
2022-01-01,Southern California,PRE,19,13202.42,3.7109375
2022-01-01,Southern California,STA,345,95522.12,67.3828125
2022-01-01,Southern California,THE,108,47171.19,21.09375
2022-01-01,Traverse City,PRE,28,16664.66,12.5
2022-01-01,Traverse City,STA,63,21042.47,28.125
2022-01-01,Traverse City,THE,84,32551.02,37.5
2022-01-01,Williamsburg,PRE,101,50863.52,24.938271604938272
2022-01-01,Williamsburg,STA,191,67537.22,47.160493827160494
2022-01-01,Williamsburg,THE,123,47177.35,30.37037037037037
2022-01-01,Wisconsin Dells,PRE,34,14095.369999999999,11.074918566775244
2022-01-01,Wisconsin Dells,STA,143,36950.25,46.579804560260584
2022-01-01,Wisconsin Dells,THE,49,17039.92,15.960912052117262
2022-01-02,Atlanta,PRE,45,13552.17,14.106583072100312
2022-01-02,Atlanta,STA,98,26735.9,30.721003134796238
2022-01-02,Atlanta,THE,164,48796.46,51.410658307210035
2022-01-02,Colorado,PRE,24,11212.24,11.059907834101383
2022-01-02,Colorado,STA,206,52859.63,94.93087557603687
2022-01-02,Colorado,THE,54,15582.0,24.88479262672811
2022-01-02,Concord,PRE,27,12680.37,8.411214953271028
2022-01-02,Concord,STA,159,38674.4,49.532710280373834
2022-01-02,Concord,THE,114,38056.52,35.51401869158878
2022-01-02,Grand Mound,PRE,60,21370.44,18.867924528301888
2022-01-02,Grand Mound,STA,170,40268.57,53.459119496855344
2022-01-02,Grand Mound,THE,96,26868.05,30.18867924528302
2022-01-02,Grapevine,PRE,49,24282.34,9.007352941176471
2022-01-02,Grapevine,STA,221,55696.7,40.625
2022-01-02,Grapevine,THE,193,57892.83,35.47794117647059
2022-01-02,Gurnee,PRE,24,8282.28,7.250755287009064
2022-01-02,Gurnee,STA,116,25966.46,35.04531722054381
2022-01-02,Gurnee,THE,99,23728.66,29.909365558912388
2022-01-02,Kansas City,PRE,23,11967.69,20.535714285714285
2022-01-02,Kansas City,STA,62,19088.96,55.35714285714286
2022-01-02,Kansas City,THE,64,25940.08,57.14285714285714
2022-01-02,Manteca,PRE,38,14703.79,10.133333333333333
2022-01-02,Manteca,STA,166,41640.08,44.266666666666666
2022-01-02,Manteca,THE,119,35860.75,31.733333333333334
2022-01-02,Mason,PRE,51,19110.16,15.0
2022-01-02,Mason,STA,180,34257.31,52.94117647058824
2022-01-02,Mason,THE,118,36748.07,34.705882352941174
2022-01-02,Minnesota,PRE,15,4505.07,3.7128712871287126
2022-01-02,Minnesota,STA,252,40282.2,62.37623762376238
2022-01-02,Minnesota,THE,57,10939.37,14.108910891089108
2022-01-02,New England,PRE,13,7308.06,4.012345679012346
2022-01-02,New England,STA,251,50729.36,77.46913580246914
2022-01-02,New England,THE,59,18724.73,18.209876543209877
2022-01-02,Poconos,PRE,72,27859.63,17.955112219451372
2022-01-02,Poconos,STA,238,61878.79,59.35162094763092
2022-01-02,Poconos,THE,110,37378.9,27.431421446384043
2022-01-02,Sandusky,PRE,21,7015.25,9.722222222222223
2022-01-02,Sandusky,STA,158,25408.99,73.14814814814815
2022-01-02,Sandusky,THE,87,19348.18,40.27777777777778
2022-01-02,Scottsdale,PRE,35,10725.44,12.5
2022-01-02,Scottsdale,STA,129,23437.38,46.07142857142857
2022-01-02,Scottsdale,THE,116,26133.85,41.42857142857143
2022-01-02,Southern California,PRE,18,9013.08,3.7344398340248963
2022-01-02,Southern California,STA,337,65974.13,69.91701244813278
2022-01-02,Southern California,THE,126,34308.09,26.141078838174277
2022-01-02,Traverse City,PRE,22,7398.41,10.476190476190476
2022-01-02,Traverse City,STA,62,10387.31,29.523809523809526
2022-01-02,Traverse City,THE,80,16435.34,38.095238095238095
2022-01-02,Williamsburg,PRE,68,20037.53,24.02826855123675
2022-01-02,Williamsburg,STA,89,20007.17,31.448763250883395
2022-01-02,Williamsburg,THE,94,27665.89,33.215547703180206
2022-01-02,Wisconsin Dells,PRE,23,6463.01,15.032679738562091
2022-01-02,Wisconsin Dells,STA,100,18040.87,65.359477124183
2022-01-02,Wisconsin Dells,THE,35,8975.03,22.875816993464053
2022-01-03,Atlanta,PRE,51,13466.86,15.987460815047022
2022-01-03,Atlanta,STA,112,23065.94,35.10971786833856
2022-01-03,Atlanta,THE,161,37947.93,50.470219435736674
2022-01-03,Colorado,PRE,21,8718.84,9.012875536480687
2022-01-03,Colorado,STA,189,36419.27,81.11587982832617
2022-01-03,Colorado,THE,48,11535.14,20.600858369098713
2022-01-03,Concord,PRE,23,10182.7,6.3711911357340725
2022-01-03,Concord,STA,193,31767.44,53.46260387811634
2022-01-03,Concord,THE,131,32390.4,36.288088642659275
2022-01-03,Grand Mound,PRE,59,16743.51,14.824120603015075
2022-01-03,Grand Mound,STA,162,25868.45,40.7035175879397
2022-01-03,Grand Mound,THE,108,23808.5,27.1356783919598
2022-01-03,Grapevine,PRE,48,20054.92,8.823529411764707
2022-01-03,Grapevine,STA,272,54816.87,50.0
2022-01-03,Grapevine,THE,206,48826.64,37.86764705882353
2022-01-03,Gurnee,PRE,23,7354.29,7.958477508650519
2022-01-03,Gurnee,STA,130,19767.32,44.982698961937714
2022-01-03,Gurnee,THE,103,20674.95,35.6401384083045
2022-01-03,Kansas City,PRE,24,9998.57,21.428571428571427
2022-01-03,Kansas City,STA,70,15713.74,62.5
2022-01-03,Kansas City,THE,53,16255.67,47.32142857142857
2022-01-03,Manteca,PRE,49,16245.57,11.529411764705882
2022-01-03,Manteca,STA,214,40405.24,50.35294117647059
2022-01-03,Manteca,THE,135,33167.47,31.76470588235294
2022-01-03,Mason,PRE,62,16188.55,15.46134663341646
2022-01-03,Mason,STA,178,29446.86,44.38902743142145
2022-01-03,Mason,THE,141,28678.170000000002,35.16209476309227
2022-01-03,Minnesota,PRE,16,3038.83,3.9603960396039604
2022-01-03,Minnesota,STA,157,18597.45,38.86138613861386
2022-01-03,Minnesota,THE,51,7391.16,12.623762376237623
2022-01-03,New England,PRE,10,4537.89,3.0864197530864197
2022-01-03,New England,STA,221,32052.19,68.20987654320987
2022-01-03,New England,THE,65,16692.96,20.061728395061728
2022-01-03,Poconos,PRE,60,19708.88,14.962593516209477
2022-01-03,Poconos,STA,233,44888.59,58.104738154613464
2022-01-03,Poconos,THE,107,26321.68,26.683291770573565
2022-01-03,Sandusky,PRE,21,5552.03,8.641975308641975
2022-01-03,Sandusky,STA,164,20733.31,67.48971193415639
2022-01-03,Sandusky,THE,89,14783.96,36.62551440329218
2022-01-03,Scottsdale,PRE,35,8520.72,13.358778625954198
2022-01-03,Scottsdale,STA,125,18497.74,47.70992366412214
2022-01-03,Scottsdale,THE,129,22525.2,49.23664122137404
2022-01-03,Southern California,PRE,16,7237.07,3.319502074688797
2022-01-03,Southern California,STA,321,53643.74,66.59751037344398
2022-01-03,Southern California,THE,130,32358.62,26.970954356846473
2022-01-03,Traverse City,PRE,18,6405.32,9.183673469387756
2022-01-03,Traverse City,STA,71,11501.31,36.224489795918366
2022-01-03,Traverse City,THE,74,13849.26,37.755102040816325
2022-01-03,Williamsburg,PRE,85,20229.8,23.35164835164835
2022-01-03,Williamsburg,STA,96,17138.79,26.373626373626376
2022-01-03,Williamsburg,THE,97,20796.69,26.64835164835165
2022-01-03,Wisconsin Dells,PRE,20,4811.65,13.071895424836603
2022-01-03,Wisconsin Dells,STA,119,15061.64,77.77777777777779
2022-01-03,Wisconsin Dells,THE,39,8598.35,25.49019607843137
2022-01-04,Atlanta,PRE,45,9131.26,14.106583072100312
2022-01-04,Atlanta,STA,100,14696.27,31.347962382445143
2022-01-04,Atlanta,THE,173,28968.99,54.2319749216301
2022-01-04,Colorado,PRE,14,4675.7699999999995,6.008583690987124
2022-01-04,Colorado,STA,169,26082.09,72.53218884120172
2022-01-04,Colorado,THE,53,11223.69,22.746781115879827
2022-01-04,Concord,PRE,27,8534.14,7.479224376731302
2022-01-04,Concord,STA,162,22746.42,44.87534626038781
2022-01-04,Concord,THE,101,19823.76,27.977839335180054
2022-01-04,Grand Mound,PRE,56,14225.710000000001,14.07035175879397
2022-01-04,Grand Mound,STA,162,22833.08,40.7035175879397
2022-01-04,Grand Mound,THE,89,17742.82,22.36180904522613
2022-01-04,Grapevine,PRE,46,14601.91,8.455882352941178
2022-01-04,Grapevine,STA,240,39534.56,44.11764705882353
2022-01-04,Grapevine,THE,202,35760.77,37.13235294117647
2022-01-04,Gurnee,PRE,17,5641.83,5.88235294117647
2022-01-04,Gurnee,STA,123,16599.64,42.56055363321799
2022-01-04,Gurnee,THE,96,15668.49,33.21799307958477
2022-01-04,Kansas City,PRE,21,5804.61,18.75
2022-01-04,Kansas City,STA,91,13591.9,81.25
2022-01-04,Kansas City,THE,41,9317.77,36.607142857142854
2022-01-04,Manteca,PRE,36,11551.59,8.470588235294118
2022-01-04,Manteca,STA,196,33224.58,46.11764705882353
2022-01-04,Manteca,THE,130,27974.06,30.58823529411765
2022-01-04,Mason,PRE,64,14476.53,15.96009975062344
2022-01-04,Mason,STA,145,19346.34,36.15960099750624
2022-01-04,Mason,THE,130,21288.22,32.418952618453865
2022-01-04,Minnesota,PRE,9,1810.23,2.2277227722772275
2022-01-04,Minnesota,STA,74,8252.62,18.316831683168317
2022-01-04,Minnesota,THE,32,4703.96,7.920792079207921
